Symbol,beta,dy,pe,roe
AER,0.21093977345819437,nan,6.179825,-0.043920003
BWFG,0.32397931449084766,0.0352,6.2526884,0.16995001
CPK,0.394321728735514,0.0168,21.21993,0.11176
CHMG,0.24960471435044923,0.0308,7.476723,0.16087
BEP,0.3849211874143804,0.044,-147.61905,0.0054900004
ABVC,-0.0006156236392448536,nan,-1.5454546,-2.69482
AWR,0.3703270597147812,0.0174,30.084745,0.11236
CDMO,0.1674511043374258,nan,200.55554,0.96266
BRTX,-0.001935498304730196,nan,-1.5529412,-0.98826
ADPT,0.16003578581474376,nan,-6.672897,-0.37515
CHTR,0.41213790684422785,nan,9.270807,0.38097998
CIB,0.25969237744169227,0.097799994,4.076539,0.18929
CCU,0.33412132199441674,0.02,12.082706,0.0947
BFC,0.35881764781364756,0.0179,12.083039,0.10381
BKU,0.2653066406718952,0.05,7.466887,nan
CPSS,0.05538165020647253,nan,12.542169,0.43143
CWCO,0.2047259463282947,0.0202,19.425287,0.05603
CMI,0.509974221561306,0.0269,12.292886,0.22246
BYND,0.13293277065960968,nan,-4.977941,nan
BSET,0.1585799600512521,0.045,7.513089,0.12498
ABIO,0.005337057006099532,nan,-0.22727272,-0.18084998
APRN,0.0007876148266374276,nan,-0.8951613,-1.92896
CTOS,0.12238804765898822,nan,16.972973,0.04454
BLK,0.5591134102156426,0.0307,16.725641,nan
ABR,0.2267034920256053,0.1527,6.302198,0.12588
AKTX,0.06450324768952201,nan,-0.6036666,-3.65064
AYX,0.19491315521911437,nan,58.757145,-1.10511
ADT,0.19221280698422039,0.020599999,11.964285,0.05167
CULP,0.12463166345691926,nan,-13.317074,-0.29841998
CMRE,0.21519814592475242,0.0517,2.8218749,0.28570998
BDC,0.33626243069274103,0.0026,10.896409,0.25499
CRK,0.10561228102455913,0.0444,5.721393,0.65831
CHX,0.14606984998909509,0.0126,11.3305435,0.10531
BLRX,0.04913438187813535,nan,-1.8135595,-0.41959998
CMCL,0.10322620771201875,0.0402,8.090909,0.12227
B,0.34967085434116785,0.0167,16.812,0.00971
CALX,0.19187757855122187,nan,29.483871,0.06489
BKYI,-0.003259604679804232,nan,-1.4347826,-0.90242
CHMI,0.16865538358930707,0.19780001,5.1682243,0.08153
CMP,0.3020748905857223,0.0186,27.274998,-0.11406
BYSI,0.026073909077500648,nan,-0.5630814,-3.10483
ATEN,0.2047125465547587,0.016900001,15.204301,0.24061
CDXS,0.15494277792520775,nan,-3.769231,-0.21729
BXRX,0.032231450180257186,nan,-0.679646,nan
AXTI,0.1530215534750173,nan,9.888888,0.06576
CCM,0.015119459422828902,nan,-8.866667,nan
AZTA,0.27879517594476283,nan,71.29508,-0.01197
CIO,0.00461214093643869,0.13939999,-58.2,0.02113
BKSY,0.06369045215869848,nan,-6.2,-0.49672002
BRFS,0.16785043007575254,nan,25.8,-0.29936
AQUA,0.32066383131698367,nan,44.54955,0.11337
AMRK,0.10319202775813588,0.0225,7.0058703,0.32583
CVBF,0.3402308663914786,0.054899998,8.410112,0.11684
AMSWA,0.2365653455534031,0.0369,25.404255,0.08376
BXC,0.14951361231130544,nan,4.717845,0.62138003
AIM,-0.015429705693149479,nan,-1.0666667,-0.40787998
CINF,0.383233117362691,0.0295,17.85906,-0.04112
BMA,0.17750895714639559,0.066,8.266355,0.11462
CCLD,0.1151582991413928,nan,-8.384616,0.054419998
CNOB,0.2755044802930285,0.0402,5.7802196,0.108739994
AIRG,0.14356798960059508,nan,30.894737,-0.20617001
ARAY,0.15237136171009677,nan,37.111107,-0.23011999
BLUE,0.10505895371311363,nan,-2.7018633,-0.93434
APO,0.36778645975737745,0.026099999,8.418326,-0.49456
AXDX,0.05425880453155984,nan,-1.9165218,nan
CVGW,0.14341742684606065,0.0128999995,19.137724,-0.0238
CVLG,0.18695807750174537,0.012200001,9.75,0.29700002
AMCR,0.5185522329094053,0.045700002,13.54321,0.24143
ALEX,0.34208791041726383,0.0466,17.971962,0.03505
AWRE,0.11086243433424878,nan,-7.5454545,-0.04224
ALAR,0.015027779142267455,nan,-195.00002,-0.70142
CABA,0.050985017267585926,nan,-6.070175,-0.47623003
AAL,0.16397836289093948,nan,4.442997,nan
BERY,0.4584164131250203,0.0177,7.0072727,0.22920999
AIF,0.6127052976614524,0.118599996,11.669812,-0.09957
ATNM,0.06132016282657358,nan,-7.787611,-0.47158
ASTE,0.2890197245469837,0.0128,15.065693,-0.00093999994
BZUN,0.11109650188197628,nan,7.467742,-0.10041001
CVNA,0.09374754350886347,nan,-1.2415026,nan
ASRT,0.06115168580516472,nan,8.887097,0.66816
AEIS,0.33677327229395837,0.0047999998,14.489113,0.20837
CRDL,0.08753920105743111,nan,-1.9362501,-0.48164
ASUR,0.17430948577195898,nan,31.761906,-0.09538999
ASND,0.15924901809102848,nan,-2332.0,-1.01692
CCOI,0.357175987801972,0.054,53.107697,nan
CHUY,0.2067524166588512,nan,19.595507,0.08221
ADN,0.002822297299023937,nan,-19.0,-0.76498
BAK,0.18076873198510493,nan,25.35484,-0.13327
AEG,0.29753806349192446,0.0468,6.0400004,-0.05074
